word,meaningZh,definition,example,category,level,notes,noun,verb,adjective,adverb,past,participle,ing,plural
conflict,冲突,a serious disagreement or problem,The main conflict begins when the family moves town.,Writing,Useful,Narrative word,conflict,conflict,conflicting,,conflicted,conflicted,conflicting,conflicts
resolution,结局 / 解决,the part where a problem is solved,The resolution explains what happens after the battle.,Writing,Useful,Narrative structure,resolution,resolve,resolved,,resolved,resolved,resolving,resolutions
metaphor,隐喻,a comparison that says one thing is another,The writer uses a metaphor to describe fear.,Writing,Useful,Literary device,metaphor,,metaphorical,metaphorically,,,metaphors
simile,明喻,a comparison using like or as,The simile helps the reader imagine the storm.,Writing,Useful,Literary device,simile,,,,,,similes
imagery,意象 / 画面感,language that creates pictures in the mind,The imagery makes the scene feel peaceful.,Writing,Useful,Literary device,imagery,imagine,imaginative,imaginatively,imagined,imagined,imagining,images
symbolism,象征,the use of objects to represent ideas,The red scarf is an example of symbolism.,Writing,Important,Literary device,symbolism,symbolise,symbolic,symbolically,symbolised,symbolised,symbolising,symbols
technique,技巧 / 手法,a method used to achieve an effect,Repetition is a technique used in speeches.,Writing,Essential,Writing analysis word,technique,,technical,technically,,,techniques
audience,受众 / 观众,the people who read or watch something,Think about the audience before choosing your tone.,Writing,Essential,Media and writing word,audience,,,,,,audiences
experiment,实验,a test done to learn or prove something,We repeated the experiment to check the result.,Science,Essential,Science practical word,experiment,experiment,experimental,experimentally,experimented,experimented,experimenting,experiments
investigate,调查 / 研究,to study something carefully to find facts,The class will investigate how plants grow.,Science,Essential,Science inquiry word,investigation,investigate,investigative,,investigated,investigated,investigating,investigations
predict,预测,to say what may happen in the future,Predict what will happen when the liquid is heated.,Science,Essential,Science method word,prediction,predict,predictable,predictably,predicted,predicted,predicting,predictions
classify,分类,to put things into groups,Classify the animals by their features.,Science,Useful,Science sorting word,classification,classify,classified,,classified,classified,classifying,classifications
observe,观察,to watch carefully and notice details,Observe the colour change during the reaction.,Science,Essential,Practical skill,observation,observe,observable,,observed,observed,observing,observations
measure,测量,to find the size or amount of something,Measure the temperature every two minutes.,Science,Essential,Science and maths word,measurement,measure,measurable,,measured,measured,measuring,measurements
record,记录,to write down information,Record your results in the table.,Science,Essential,Experiment skill,record,record,recorded,,recorded,recorded,recording,records
diagram,图表 / 示意图,a simple drawing that explains something,Label the diagram of the human heart.,Science,Useful,Science worksheet word,diagram,diagram,diagrammatic,,diagrammed,diagrammed,diagramming,diagrams
particle,粒子,a very small piece of matter,Particles move faster when a substance is heated.,Science,Important,Physics and chemistry,particle,,particulate,,,particles
atom,原子,the smallest unit of a chemical element,An atom has protons and electrons.,Science,Important,Chemistry word,atom,,atomic,atomically,,,atoms
molecule,分子,a group of atoms joined together,A water molecule contains hydrogen and oxygen.,Science,Important,Chemistry word,molecule,,molecular,molecularly,,,molecules
cell,细胞,the basic unit of living things,Plant cells have a cell wall.,Science,Essential,Biology word,cell,,cellular,,,cells
organism,生物,a living thing,A mushroom is a living organism.,Science,Useful,Biology word,organism,,organic,organically,,,organisms
ecosystem,生态系统,a community of living things and their environment,The pond ecosystem includes plants and insects.,Science,Important,Environment word,ecosystem,,ecological,ecologically,,,ecosystems
energy,能量,the ability to do work or cause change,Food gives the body energy.,Science,Essential,Science core word,energy,energise,energetic,energetically,energised,energised,energising,energies
force,力,a push or pull that can change motion,Friction is a force that slows objects down.,Science,Essential,Physics word,force,force,forced,forcefully,forced,forced,forcing,forces
motion,运动,movement from one place or position to another,The graph shows the motion of the bike.,Science,Useful,Physics word,motion,,moving,,,motions
reaction,反应,a change that happens when substances interact,The reaction produced bubbles.,Science,Essential,Chemistry word,reaction,react,reactive,reactively,reacted,reacted,reacting,reactions
solution,溶液 / 解决办法,a mixture where one substance dissolves in another,Salt water is a solution.,Science,Useful,Chemistry word,solution,solve,soluble,,solved,solved,solving,solutions
fraction,分数,a number that represents part of a whole,One half is a common fraction.,Maths,Essential,Maths core word,fraction,,fractional,,,fractions
decimal,小数,a number written with a decimal point,Convert the fraction to a decimal.,Maths,Essential,Maths core word,decimal,,decimal,,,decimals
percentage,百分比,a number shown as part of one hundred,Calculate the percentage of students who agreed.,Maths,Essential,Maths core word,percentage,,percent,,,percentages
ratio,比率,a comparison between two amounts,The ratio of boys to girls is three to two.,Maths,Useful,Maths comparison word,ratio,,,,,,ratios
proportion,比例,a part or share of a whole,A large proportion of the class chose soccer.,Maths,Useful,Maths and humanities word,proportion,proportion,proportional,proportionally,proportioned,proportioned,proportioning,proportions
algebra,代数,a type of maths using letters and symbols,Algebra helps us solve unknown values.,Maths,Essential,Maths topic,algebra,,algebraic,algebraically,,, 
expression,表达式,a maths phrase with numbers or variables,Simplify the expression before solving it.,Maths,Essential,Maths word,expression,express,expressive,,expressed,expressed,expressing,expressions
formula,公式,a rule written with symbols,Use the formula to find the area.,Maths,Essential,Maths core word,formula,formulate,formulaic,,formulated,formulated,formulating,formulae;formulas
graph,图表,a diagram that shows data or relationships,Draw a graph to show the results.,Maths,Essential,Maths and science word,graph,graph,graphic,graphically,graphed,graphed,graphing,graphs
coordinate,坐标,a number that shows position on a grid,Plot the coordinate on the graph.,Maths,Useful,Graph word,coordinate,coordinate,coordinated,,coordinated,coordinated,coordinating,coordinates
gradient,斜率,the steepness of a line,Find the gradient of the line on the graph.,Maths,Important,Graph word,gradient,,,,,,gradients
area,面积,the amount of space inside a flat shape,Calculate the area of the rectangle.,Maths,Essential,Geometry word,area,,,,,,areas
volume,体积,the amount of space inside a 3D object,Find the volume of the prism.,Maths,Essential,Geometry word,volume,,volumetric,,,volumes
perimeter,周长,the distance around a shape,Add the side lengths to find the perimeter.,Maths,Essential,Geometry word,perimeter,,,,,,perimeters
probability,概率,the chance that something will happen,The probability of rolling a six is one sixth.,Maths,Useful,Chance topic,probability,,probable,probably,,,probabilities
civilisation,文明,a society with cities culture and government,Ancient Egypt was a powerful civilisation.,Humanities,Important,Australian spelling,civilisation,civilise,civilised,,civilised,civilised,civilising,civilisations
migration,迁移 / 移民,movement from one place to another,Migration changed the population of the city.,Humanities,Useful,Geography and history,migration,migrate,migratory,,migrated,migrated,migrating,migrations
settlement,定居点,a place where people establish a community,The settlement grew near the river.,Humanities,Useful,History word,settlement,settle,settled,,settled,settled,settling,settlements
government,政府,the group that controls a country or area,The government made a new law.,Humanities,Essential,Civics word,government,govern,governing,,governed,governed,governing,governments
democracy,民主,a system where people choose leaders by voting,Australia is a democracy.,Humanities,Essential,Civics word,democracy,,democratic,democratically,,,democracies
economy,经济,the system of money jobs and trade in a place,Tourism is important to the local economy.,Humanities,Important,Humanities word,economy,,economic,economically,,,economies
trade,贸易 / 交易,the buying and selling of goods,Trade helped the town become wealthy.,Humanities,Useful,Economics and history,trade,trade,trading,,traded,traded,trading,trades
resource,资源,something useful that people can use,Water is an important natural resource.,Humanities,Essential,Geography word,resource,resource,resourceful,resourcefully,resourced,resourced,resourcing,resources
environment,环境,the natural world around us,Pollution can damage the environment.,Humanities,Essential,Geography word,environment,,environmental,environmentally,,,environments
sustainability,可持续性,the ability to continue without damaging the future,Sustainability is important in modern farming.,Humanities,Important,Geography word,sustainability,sustain,sustainable,sustainably,sustained,sustained,sustaining,
identity,身份,the qualities that make a person or group who they are,Language can be part of a person's identity.,Humanities,Useful,Culture word,identity,identify,identifiable,,identified,identified,identifying,identities
diversity,多样性,the presence of many different types of people or things,Australia has great cultural diversity.,Humanities,Useful,Culture word,diversity,diversify,diverse,diversely,diversified,diversified,diversifying,
equality,平等,the state of having the same rights or chances,Equality means everyone is treated fairly.,Humanities,Important,Civics word,equality,equalise,equal,equally,equalised,equalised,equalising,
rights,权利,basic freedoms or protections that people should have,Students have rights and responsibilities at school.,Humanities,Essential,Civics word,right,,rightful,rightfully,,,rights
responsibility,责任,a duty to do something or care for something,It is your responsibility to bring your laptop.,Humanities,Essential,School and civics word,responsibility,,responsible,responsibly,,,responsibilities
appointment,预约 / 约定,a planned meeting or visit,I have a dentist appointment after school.,Daily Life,Useful,Everyday word,appointment,appoint,appointed,,appointed,appointed,appointing,appointments
transport,交通 / 运输,the movement of people or goods,Buses are a common form of transport.,Daily Life,Essential,Australian daily life,transport,transport,transportable,,transported,transported,transporting,
permission,许可,approval to do something,Ask for permission before leaving class.,Daily Life,Essential,School life word,permission,permit,permitted,,permitted,permitted,permitting,permissions
routine,日常安排,a regular way of doing things,A study routine can help you stay organised.,Daily Life,Useful,Study habit word,routine,,routine,,,routines
budget,预算,a plan for how money will be used,Make a budget before buying new supplies.,Daily Life,Useful,Money word,budget,budget,budgeted,,budgeted,budgeted,budgeting,budgets
receipt,收据,a piece of paper that shows payment,Keep the receipt in case you need a refund.,Daily Life,Useful,Shopping word,receipt,,,,,,receipts
organise,组织 / 安排,to arrange things in a clear way,Organise your notes before the test.,Daily Life,Essential,Australian spelling,organisation,organise,organised,,organised,organised,organising,organisations
negotiate,协商,to discuss in order to reach an agreement,The group had to negotiate a fair plan.,Daily Life,Useful,Useful social word,negotiation,negotiate,negotiable,,negotiated,negotiated,negotiating,negotiations
apologise,道歉,to say sorry for something,Apologise if you interrupt someone.,Daily Life,Essential,Australian spelling,apology,apologise,apologetic,apologetically,apologised,apologised,apologising,apologies
request,请求,to ask for something politely,You can request help from the teacher.,Daily Life,Essential,Polite school word,request,request,requested,,requested,requested,requesting,requests
anxious,焦虑的,worried or nervous about something,I felt anxious before the oral presentation.,Feelings,Useful,Common feeling word,anxiety,,anxious,anxiously,,, 
motivated,有动力的,willing to work hard toward a goal,I feel motivated when I understand the task.,Feelings,Useful,Study feeling,motivation,motivate,motivated,,motivated,motivated,motivating,motivations
determined,坚定的,not giving up easily,She was determined to improve her English.,Feelings,Useful,Positive learner word,determination,determine,determined,,determined,determined,determining,
independent,独立的,able to do things without much help,Independent learners ask questions and try again.,Study Skills,Useful,Study skill,independence,,independent,independently,,, 
responsible,负责任的,able to be trusted to do the right thing,A responsible student submits work on time.,Study Skills,Essential,Student habit,responsibility,,responsible,responsibly,,, 
persistent,坚持的,continuing even when something is hard,Be persistent when learning difficult words.,Study Skills,Useful,Good learner word,persistence,persist,persistent,persistently,persisted,persisted,persisting,
adaptable,适应能力强的,able to change when situations change,An adaptable student can learn in a new school.,Study Skills,Useful,Useful for moving countries,adaptability,adapt,adaptable,adaptably,adapted,adapted,adapting,
respectful,尊重人的,showing respect for others,Use respectful language in class discussions.,Study Skills,Essential,Classroom behaviour,respect,respect,respectful,respectfully,respected,respected,respecting,
collaborate,合作,to work with others on a task,Collaborate with your group to finish the project.,Study Skills,Essential,Group work word,collaboration,collaborate,collaborative,collaboratively,collaborated,collaborated,collaborating,collaborations
reflect,反思,to think carefully about learning or experience,Reflect on what you did well after the assessment.,Study Skills,Essential,Learning reflection word,reflection,reflect,reflective,reflectively,reflected,reflected,reflecting,reflections
initiative,主动性,the ability to start things without being told,Showing initiative can help you succeed at school.,Study Skills,Useful,Positive learner word,initiative,initiate,initial,initially,initiated,initiated,initiating,initiatives
