word,meaningZh,definition,example,category,level,notes,noun,verb,adjective,adverb,past,participle,ing,plural
valid,有效的,based on a fair method and useful evidence,A valid experiment tests only one variable.,Science,Important,Science evaluation word,validity,validate,valid,validly,validated,validated,validating,
anomaly,异常值,something different from the expected pattern,One result was an anomaly and needed checking.,Science,Useful,Data word,anomaly,,anomalous,anomalously,,,anomalies
conduct,进行 / 实施,to carry out an activity or experiment,We conducted the test three times.,Science,Useful,Formal science verb,conduct,conduct,conducted,,conducted,conducted,conducting,conducts
substance,物质,a type of material with particular properties,Water is a common substance in experiments.,Science,Essential,Chemistry word,substance,,substantial,substantially,,,substances
property,性质 / 特性,a quality that something has,Hardness is a property of some minerals.,Science,Useful,Science description word,property,,,,,,properties
density,密度,the amount of mass in a certain volume,Oil has a lower density than water.,Science,Important,Physics and chemistry,density,,dense,densely,,,densities
evaporate,蒸发,to change from liquid to gas,Water will evaporate faster in sunlight.,Science,Useful,Chemistry process,evaporation,evaporate,evaporative,,evaporated,evaporated,evaporating,
condense,凝结,to change from gas to liquid,Water vapour can condense on a cold surface.,Science,Useful,Chemistry process,condensation,condense,condensed,,condensed,condensed,condensing,
gravity,重力,the force that pulls objects toward each other,Gravity pulls objects toward Earth.,Science,Essential,Physics word,gravity,,gravitational,gravitationally,,,,
friction,摩擦力,a force that slows movement between surfaces,Friction helps shoes grip the ground.,Science,Essential,Physics word,friction,,frictional,,,,
habitat,栖息地,the place where an organism lives,A rainforest is a habitat for many animals.,Science,Useful,Biology word,habitat,,,,,,habitats
adaptation,适应 / 适应特征,a feature that helps an organism survive,Thick fur is an adaptation for cold climates.,Science,Important,Biology word,adaptation,adapt,adapted,,adapted,adapted,adapting,adaptations
photosynthesis,光合作用,the process plants use to make food from light,Photosynthesis happens in the leaves of plants.,Science,Important,Biology word,photosynthesis,,photosynthetic,,,,
respiration,呼吸作用,the process cells use to release energy,Respiration releases energy from glucose.,Science,Important,Biology word,respiration,respire,respiratory,,respired,respired,respiring,
nutrient,营养物质,a substance that living things need to grow,Plants need nutrients from the soil.,Science,Useful,Biology word,nutrient,,nutritious,nutritiously,,,nutrients
equivalent,等值的 / 相等的,having the same value,Fifty percent is equivalent to one half.,Maths,Essential,Maths comparison word,equivalence,,equivalent,equivalently,,,equivalents
integer,整数,a whole number that can be positive negative or zero,Negative three is an integer.,Maths,Essential,Number word,integer,,,,,,integers
multiple,倍数,a number made by multiplying another number,Twelve is a multiple of three.,Maths,Essential,Number word,multiple,multiply,multiple,,multiplied,multiplied,multiplying,multiples
factor,因数,a number that divides exactly into another number,Six is a factor of twenty four.,Maths,Essential,Number word,factor,factor,factorised,,factored,factored,factoring,factors
prime,质数,a number with exactly two factors,Seven is a prime number.,Maths,Useful,Number word,prime,,,,,,primes
round,四舍五入,to change a number to a nearby simpler number,Round the answer to two decimal places.,Maths,Essential,Maths instruction,rounding,round,rounded,,rounded,rounded,rounding,rounds
substitute,代入,to replace a value with another value,Substitute x equals four into the formula.,Maths,Useful,Algebra word,substitution,substitute,substituted,,substituted,substituted,substituting,substitutions
linear,线性的,forming a straight line or simple sequence,A linear graph has a constant gradient.,Maths,Important,Algebra and graphs,line,,linear,linearly,,,,
axis,坐标轴,a reference line on a graph,Label the x axis and y axis clearly.,Maths,Essential,Graph word,axis,,,,,,axes
scale,刻度 / 比例,the size system used on a graph,Choose a suitable scale for the graph.,Maths,Useful,Graph word,scale,scale,scaled,,scaled,scaled,scaling,scales
intersect,相交,to cross or meet at a point,The two lines intersect at the origin.,Maths,Useful,Geometry word,intersection,intersect,intersecting,,intersected,intersected,intersecting,intersections
angle,角,the space between two lines that meet,Measure the angle with a protractor.,Maths,Essential,Geometry word,angle,,angular,,,angles
triangle,三角形,a shape with three sides,A triangle has three angles.,Maths,Essential,Geometry word,triangle,,triangular,,,triangles
symmetry,对称,a balanced match on both sides,The shape has line symmetry.,Maths,Useful,Geometry word,symmetry,,symmetrical,symmetrically,,,symmetries
statistic,统计数据,a number that describes information,Use a statistic to support your claim.,Maths,Useful,Data word,statistic,,statistical,statistically,,,statistics
average,平均数,a value that represents a set of numbers,Find the average score for the class.,Maths,Essential,Data word,average,average,average,,averaged,averaged,averaging,averages
median,中位数,the middle value in an ordered data set,The median is less affected by one very high value.,Maths,Useful,Data word,median,,,,,,medians
primary,第一手的,coming directly from the time or event,A diary can be a primary source.,Humanities,Important,History source word,primary,,,,,,primaries
secondary,第二手的,based on other sources or later analysis,A textbook is usually a secondary source.,Humanities,Important,History source word,secondary,,,,,,secondaries
biased,有偏见的,unfairly supporting one side,A biased source may leave out key facts.,Humanities,Important,Source analysis word,bias,bias,biased,,biased,biased,biasing,biases
chronology,年代顺序,the order in which events happened,Create a chronology of the main events.,Humanities,Useful,History sequence word,chronology,,chronological,chronologically,,,chronologies
empire,帝国,a large group of lands ruled by one power,The Roman Empire controlled many regions.,Humanities,Useful,History word,empire,,imperial,imperially,,,empires
colony,殖民地,a place controlled by another country,Australia began as a British colony.,Humanities,Important,Australian history word,colony,colonise,colonial,,colonised,colonised,colonising,colonies
federation,联邦 / 联邦成立,the joining of states under one government,Australian Federation happened in 1901.,Humanities,Important,Australian history word,federation,federate,federal,federally,federated,federated,federating,federations
constitution,宪法,a set of basic rules for government,The constitution explains how power is shared.,Humanities,Important,Civics word,constitution,constitute,constitutional,constitutionally,constituted,constituted,constituting,constitutions
parliament,议会,a group of elected people who make laws,Parliament debates new laws.,Humanities,Essential,Civics word,parliament,,parliamentary,,,parliaments
citizen,公民,a person who legally belongs to a country,A citizen can vote when they are old enough.,Humanities,Useful,Civics word,citizen,,civic,,,citizens
justice,正义 / 公正,fair treatment under rules or law,Justice means people should be treated fairly.,Humanities,Important,Civics word,justice,,just,justly,,,,
inequality,不平等,an unfair difference between groups,The report discusses inequality in education.,Humanities,Important,Civics and society word,inequality,,unequal,unequally,,,inequalities
urban,城市的,related to a city,Urban areas often have more public transport.,Humanities,Useful,Geography word,urbanise,urbanise,urban,urbanely,urbanised,urbanised,urbanising,
rural,农村的,related to the countryside,Rural communities may have fewer services.,Humanities,Useful,Geography word,rurality,,rural,,,,
region,地区 / 区域,an area with particular features,The region is known for farming.,Humanities,Useful,Geography word,region,,regional,regionally,,,regions
climate,气候,the usual weather conditions in a place,Climate affects the crops that can grow there.,Humanities,Essential,Geography word,climate,,climatic,climatically,,,climates
population,人口,the number of people living in a place,The population of the town increased quickly.,Humanities,Essential,Geography word,population,populate,populated,,populated,populated,populating,populations
recommend,推荐 / 建议,to suggest the best choice,I recommend revising your notes before the test.,Daily Life,Useful,Useful polite verb,recommendation,recommend,recommended,,recommended,recommended,recommending,recommendations
confirm,确认,to make sure something is true,Please confirm the time of the meeting.,Daily Life,Essential,School and daily word,confirmation,confirm,confirmed,,confirmed,confirmed,confirming,confirmations
cancel,取消,to stop a planned event,The training session was cancelled because of rain.,Daily Life,Useful,Australian spelling,cancellation,cancel,cancelled,,cancelled,cancelled,cancelling,cancellations
reschedule,重新安排时间,to arrange a new time for something,We need to reschedule the appointment.,Daily Life,Useful,Daily organisation word,reschedule,reschedule,rescheduled,,rescheduled,rescheduled,rescheduling,
borrow,借入,to take something and return it later,Can I borrow your calculator for the lesson?,Daily Life,Essential,School life word,borrowing,borrow,borrowed,,borrowed,borrowed,borrowing,
lend,借出,to give something for someone to return,I can lend you a pencil.,Daily Life,Essential,School life word,lending,lend,lent,,lent,lent,lending,
refund,退款,money returned after a purchase,Ask for a refund if the item is broken.,Daily Life,Useful,Shopping word,refund,refund,refundable,,refunded,refunded,refunding,refunds
replace,更换 / 替换,to put a new thing in place of another,Replace the broken folder with a new one.,Daily Life,Useful,Everyday verb,replacement,replace,replaceable,,replaced,replaced,replacing,replacements
available,可获得的 / 有空的,able to be used or seen,The teacher is available at lunchtime.,Daily Life,Essential,Useful school word,availability,,available,,,,
convenient,方便的,easy and suitable for a situation,Online submission is convenient for students.,Daily Life,Useful,Daily life word,convenience,,convenient,conveniently,,,,
appropriate,合适的,suitable for a situation,Use appropriate language in an email.,Daily Life,Essential,School behaviour word,appropriateness,,appropriate,appropriately,,,,
urgent,紧急的,needing quick attention,Tell the office if the problem is urgent.,Daily Life,Useful,Common notice word,urgency,,urgent,urgently,,,,
patient,有耐心的,able to wait calmly,Be patient when learning a hard topic.,Feelings,Useful,Positive quality,patience,,patient,patiently,,,patients
embarrassed,尴尬的,feeling ashamed or uncomfortable,He felt embarrassed after forgetting his lines.,Feelings,Useful,Feeling word,embarrassment,embarrass,embarrassed,embarrassingly,embarrassed,embarrassed,embarrassing,
disappointed,失望的,unhappy because something was not as hoped,I was disappointed with my test result.,Feelings,Useful,Feeling word,disappointment,disappoint,disappointed,disappointingly,disappointed,disappointed,disappointing,
proud,自豪的,pleased because of an achievement,She felt proud after finishing the project.,Feelings,Useful,Feeling word,pride,,proud,proudly,,,,
grateful,感激的,feeling thankful,I am grateful for your help with English.,Feelings,Useful,Positive feeling,gratitude,,grateful,gratefully,,,,
isolated,孤立的,separated from others,New students can feel isolated at first.,Feelings,Important,Moving school feeling,isolation,isolate,isolated,,isolated,isolated,isolating,
belonging,归属感,the feeling of being accepted in a group,Sport helped him feel a sense of belonging.,Feelings,Useful,School wellbeing word,belonging,belong,,,belonged,belonged,belonging,
mindset,心态,a way of thinking about learning or life,A growth mindset helps you keep trying.,Study Skills,Useful,Learning word,mindset,,,,,,mindsets
discipline,自律 / 纪律,the ability to control behaviour and keep working,Study requires discipline and routine.,Study Skills,Important,Study habit word,discipline,discipline,disciplined,,disciplined,disciplined,disciplining,disciplines
concentration,专注力,the ability to focus attention,Noise can affect concentration during homework.,Study Skills,Essential,Study skill,concentration,concentrate,concentrated,,concentrated,concentrated,concentrating,
revision,复习,the act of studying again before a test,Revision works best when it is regular.,Study Skills,Essential,Study skill,revision,revise,revised,,revised,revised,revising,revisions
memorise,记住,to learn something so you can remember it,Use examples to memorise new vocabulary.,Study Skills,Useful,Australian spelling,memory,memorise,memorable,memorably,memorised,memorised,memorising,memories
prioritise,优先处理,to decide what is most important,Prioritise the assignment due tomorrow.,Study Skills,Essential,Australian spelling,priority,prioritise,prioritised,,prioritised,prioritised,prioritising,priorities
manageable,可管理的 / 能应付的,small or clear enough to deal with,Break the task into manageable parts.,Study Skills,Useful,Study planning word,management,manage,manageable,,managed,managed,managing,
efficient,高效的,working well without wasting time,An efficient study plan saves time.,Study Skills,Useful,Study quality word,efficiency,,efficient,efficiently,,,,
